#         Module A
# V2 (arcsec)    V3(arcsec)
  9506.06829   37212.81791
  8329.89433   38233.26900
  1724.08186   38307.67916
   826.16053   37312.35075
  -171.52983   38357.44486
 -3527.76080   38292.71523
 -1978.51981   35617.68368
  1424.77475   34127.29841
  1424.77475   35869.12384
  3920.51482   34963.78664
  5648.51482   33537.10295
  9456.18377   35769.59100
  9506.06829   37212.81791
#
#         Module B
# V2 (arcsec)    V3(arcsec)
  1873.73470   37163.04934
   127.77728   37163.05077
 -1019.56736   36068.18952
 -1767.83442   37212.81791
-10098.55112   37212.81791
-10198.32016   34824.02830
 -5708.71208   32684.07293
 -1867.60346   34674.72975
 -1867.60346   32385.47441
 -1468.52731   32285.94114
   427.08439   33181.73714
  2522.23415   34923.56114
  1873.73470   37163.04934
